ComponentName, StatisticName, StatisticSubId, StatisticType, SimTime, Rank, Sum.u64, SumSQ.u64, Count.u64, Min.u64, Max.u64
node_os.cache:memlink, packet_latency, , Accumulator, 2098389755, 0, 1108979, 150097737, 8548, 65, 142
node_os.cache:memlink, send_bit_count, , Accumulator, 2098389755, 0, 2448128, 1251688448, 8548, 64, 576
node_os.cache:memlink, output_port_stalls, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache:memlink, idle_time, , Accumulator, 2098389755, 0, 1374948690, 404692712450408750, 1045, 3715, 635662230
node_os.cache, default_stat, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_I, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_S, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetS_M, , Accumulator, 2098389755, 0, 1, 1, 1, 1, 1
node_os.cache, stateEvent_GetX_I, , Accumulator, 2098389755, 0, 3970, 3970, 3970, 1, 1
node_os.cache, stateEvent_GetX_S, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetX_M, , Accumulator, 2098389755, 0, 1, 1, 1, 1, 1
node_os.cache, stateEvent_GetSX_I, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSX_S, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSX_M, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetSResp_IS, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetXResp_IS, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_GetXResp_IM, , Accumulator, 2098389755, 0, 3970, 3970, 3970, 1, 1
node_os.cache, stateEvent_GetXResp_SM, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_I, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_S, , Accumulator, 2098389755, 0, 3, 3, 3, 1, 1
node_os.cache, stateEvent_Inv_IS, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_IM, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_SM, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_SB, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Inv_IB, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_I, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_M, , Accumulator, 2098389755, 0, 1120, 1120, 1120, 1, 1
node_os.cache, stateEvent_FetchInvX_IS, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_IM, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_SB, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_FetchInvX_IB, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_I, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
node_os.cache, stateEvent_Fetch_S, , Accumulator, 2098389755, 0, 0, 0, 0, 0, 0
